id,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_value,occupancy_percent,price_group
30268991,555806,t,Lincoln Park,39.73767,-105.00229,Entire home,Entire home/apt,3,1.0,3.0,127.0,252,32004.0,4.86,98.82352941176471,<=300
30466371,13759432,t,West Highland,39.76065,-105.05288,Entire home,Entire home/apt,1,1.0,2.0,144.0,255,36720.0,4.91,100.0,<=300
30771799,20624256,f,Five Points,39.75789,-104.98881,Entire condo,Entire home/apt,4,1.5,1.0,126.0,255,32130.0,4.75,100.0,<=300
30912545,175676976,t,Sunnyside,39.771520236746746,-105.0028126839414,Entire home,Entire home/apt,6,1.0,2.0,211.0,231,48741.0,4.93,90.58823529411765,<=300
31168983,43808128,t,Cole,39.76771,-104.96727,Entire townhouse,Entire home/apt,4,1.0,2.0,127.0,255,32385.0,4.79,100.0,<=300
31333659,15389921,t,Highland,39.76569,-105.02216,Entire guesthouse,Entire home/apt,2,1.0,0.0,165.0,196,32340.0,4.98,76.86274509803923,<=300
31336941,22620764,t,Whittier,39.76026,-104.96263,Entire home,Entire home/apt,3,1.0,1.0,140.0,255,35700.0,4.91,100.0,<=300
31517336,119567327,t,Stapleton,39.80376,-104.87902,Entire home,Entire home/apt,10,3.5,4.0,166.0,255,42330.0,4.79,100.0,<=300
31879211,2203190,t,Berkeley,39.77091,-105.03224,Entire home,Entire home/apt,4,2.0,2.0,162.0,210,34020.0,4.87,82.35294117647058,<=300
32066568,22548984,t,West Colfax,39.73907,-105.03353,Entire guest suite,Entire home/apt,4,1.0,2.0,162.0,255,41310.0,4.9,100.0,<=300
33072242,248897983,t,Platt Park,39.68859,-104.98394,Entire guest suite,Entire home/apt,4,1.0,2.0,121.0,255,30855.0,4.86,100.0,<=300
33404933,21405736,t,Highland,39.760809475918144,-105.0155027683482,Entire guest suite,Entire home/apt,4,1.0,1.0,155.0,196,30380.0,4.79,76.86274509803923,<=300
33557673,106947890,t,North Park Hill,39.75791,-104.93968,Entire guesthouse,Entire home/apt,3,1.0,1.0,138.0,255,35190.0,4.93,100.0,<=300
33836656,65100323,t,Mar Lee,39.68957,-105.053,Entire home,Entire home/apt,6,1.0,2.0,177.0,180,31860.0,4.89,70.58823529411765,<=300
33962911,125224431,f,North Capitol Hill,39.74421,-104.97651,Entire townhouse,Entire home/apt,2,1.0,1.0,142.0,255,36210.0,4.85,100.0,<=300
35284634,114332015,t,Speer,39.7165,-104.98187,Entire guesthouse,Entire home/apt,3,1.0,1.0,142.0,255,36210.0,4.87,100.0,<=300
36206107,4819176,t,Berkeley,39.77433,-105.04546,Entire guesthouse,Entire home/apt,4,1.0,1.0,123.0,255,31365.0,4.9,100.0,<=300
36209411,272335946,t,Baker,39.71981,-105.0005,Entire loft,Entire home/apt,4,2.0,2.0,255.0,140,35700.0,4.83,54.90196078431373,<=300
36485190,168940217,t,CBD,39.7465,-104.99086,Entire condo,Entire home/apt,5,2.0,2.0,288.0,255,73440.0,4.81,100.0,<=300
36521451,38833223,t,Villa Park,39.73223,-105.04223,Entire guest suite,Entire home/apt,2,1.0,1.0,164.0,255,41820.0,4.89,100.0,<=300
36523288,37489777,t,Hilltop,39.71416,-104.92283,Entire home,Entire home/apt,4,2.5,2.0,217.0,210,45570.0,4.92,82.35294117647058,<=300
36941316,43944042,t,Baker,39.71983,-104.99819,Entire home,Entire home/apt,4,1.0,2.0,122.0,255,31110.0,4.93,100.0,<=300
37040860,10282840,t,Platt Park,39.68987,-104.98732,Entire home,Entire home/apt,4,1.0,2.0,123.0,255,31365.0,4.95,100.0,<=300
