id,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_value,occupancy_percent,price_group
816879346212420273,494618540,t,Five Points,39.75321751612237,-104.99028311904908,Entire home,Entire home/apt,8,2.5,3.0,229.0,255,58395.0,4.86,100.0,<=300
825550813870652356,491207862,t,Jefferson Park,39.756913729353535,-105.02386003372776,Entire home,Entire home/apt,6,2.5,3.0,229.0,255,58395.0,4.86,100.0,<=300
835822826508701910,334127567,t,Gateway - Green Valley Ranch,39.79097394488837,-104.77562582125373,Entire home,Entire home/apt,8,2.5,4.0,237.0,255,60435.0,4.93,100.0,<=300
848045509671575084,505588313,t,Highland,39.76375,-105.01301,Entire townhouse,Entire home/apt,12,4.0,4.0,275.0,255,70125.0,4.87,100.0,<=300
856533921477060579,117465438,t,Sloan Lake,39.75157,-105.03621,Entire guesthouse,Entire home/apt,4,1.0,2.0,243.0,255,61965.0,4.95,100.0,<=300
871200779857045540,441396187,f,Five Points,39.76016,-104.97477,Entire home,Entire home/apt,10,2.0,3.0,232.0,217,50344.0,4.82,85.09803921568627,<=300
884738363520197003,306507919,t,Washington Virginia Vale,39.7046976,-104.9243071,Entire home,Entire home/apt,10,3.0,5.0,256.0,231,59136.0,4.89,90.58823529411765,<=300
897836824518169491,516194746,f,West Colfax,39.73822,-105.05183,Entire home,Entire home/apt,8,4.5,4.0,297.0,255,75735.0,4.97,100.0,<=300
911066529352555654,178524821,f,Gateway - Green Valley Ranch,39.79039528174342,-104.77868601809423,Entire home,Entire home/apt,10,2.5,4.0,209.0,255,53295.0,4.71,100.0,<=300
924115688626007096,22215007,t,Union Station,39.75068,-104.99582,Entire condo,Entire home/apt,4,1.0,2.0,223.0,255,56865.0,4.82,100.0,<=300
934826134386105929,22558942,t,Clayton,39.770368793915054,-104.9472388612774,Entire home,Entire home/apt,4,2.5,2.0,285.0,255,72675.0,5.0,100.0,<=300
943635057589256329,302438077,f,Gateway - Green Valley Ranch,39.769990634386254,-104.75957111237042,Entire home,Entire home/apt,10,3.5,5.0,259.0,255,66045.0,5.0,100.0,<=300
953833530088361114,530757248,t,Five Points,39.75338139999999,-104.9831301,Entire townhouse,Entire home/apt,6,3.0,3.0,298.0,245,73010.0,4.91,96.07843137254902,<=300
976869594456046658,120363173,t,West Colfax,39.74058079836436,-105.03667981764583,Entire bungalow,Entire home/apt,8,2.0,3.0,202.0,255,51510.0,4.8,100.0,<=300
984029746201045775,27297609,f,Cherry Creek,39.7175899,-104.9494947,Entire rental unit,Entire home/apt,2,1.0,0.0,218.0,252,54936.0,4.86,98.82352941176471,<=300
993788947212603892,460051607,t,Jefferson Park,39.74940227192946,-105.02339005708473,Entire townhouse,Entire home/apt,6,2.5,2.0,210.0,255,53550.0,4.91,100.0,<=300
1000241146397132604,72164908,t,Highland,39.76281859504099,-105.00854002803516,Entire home,Entire home/apt,8,2.5,2.0,208.0,255,53040.0,4.79,100.0,<=300
1021737083261251950,494618540,t,Five Points,39.7532866,-104.9901367,Entire townhouse,Entire home/apt,6,2.5,3.0,240.0,255,61200.0,4.8,100.0,<=300
1036367578774477668,115356933,t,Berkeley,39.78132313187294,-105.02619006813514,Entire home,Entire home/apt,5,2.5,2.0,206.0,255,52530.0,4.8,100.0,<=300
1044921481127446827,550674903,t,Skyland,39.7546,-104.944,Entire home,Entire home/apt,12,3.5,4.0,230.0,255,58650.0,4.85,100.0,<=300
1071184878449341481,9834932,t,Five Points,39.75632,-104.98211,Entire home,Entire home/apt,6,2.0,3.0,227.0,224,50848.0,4.78,87.84313725490196,<=300
1095968119335761556,334127567,t,Gateway - Green Valley Ranch,39.78267078728452,-104.73848160361712,Entire home,Entire home/apt,9,3.5,5.0,197.0,255,50235.0,4.96,100.0,<=300
